year,title,artist,genre,peak_pos,wks_on_chart,duration,popularity,energy,danceability,loudness,speechiness,liveness
1961,Mother-In-Law,Ernie K-Doe,Pop,1,14,151000,35,0.528,0.811,-9.721,0.0332,0.141
1961,Bristol Stomp,The Dovells,Pop,2,16,138000,34,0.77,0.655,-6.338,0.0649,0.541
1961,You Can Depend On Me,Brenda Lee,Pop,6,12,158000,28,0.732,0.718,-9.582,0.0308,0.236
1961,Pretty Little Angel Eyes,Curtis Lee,Pop,7,11,165000,40,0.565,0.624,-8.164,0.0542,0.367
1961,Raindrops,Dee Clark,Pop,2,16,188000,73,0.539,0.804,-5.949,0.0391,0.347
1961,Walk Right Back,The Everly Brothers,Pop,7,13,139000,47,0.358,0.625,-13.199,0.0342,0.0593
1961,Amor,Ben E. King,R&B,18,10,187400,33,0.566,0.548,-11.876,0.0307,0.112
1961,El Matador,The Kingston Trio,Folk,32,11,147093,18,0.364,0.554,-9.397,0.0275,0.24
1961,Emotions,Brenda Lee,Pop,7,12,131000,67,0.631,0.63,-6.211,0.0396,0.142
1961,Michael,The Highwaymen,Pop,1,17,71000,59,0.656,0.644,-3.437,0.102,0.275
1961,Something's Got A Hold On Me,Etta James,R&B,37,12,169746,67,0.584,0.469,-6.104,0.0832,0.811
1961,Exodus,Ferrante & Teicher,Pop,2,21,126000,55,0.749,0.607,-4.497,0.0729,0.234
1961,The Boll Weevil Song,Brook Benton,Pop,2,16,160000,22,0.34,0.716,-17.01,0.0585,0.309
1961,Rainin' In My Heart,Slim Harpo,Blues,34,8,152933,31,0.656,0.489,-6.747,0.027,0.299
1962,Do You Love Me,The Contours,Pop,3,34,172000,66,0.793,0.596,-6.611,0.0421,0.108
1962,Sheila,Tommy Roe,Pop,1,14,281000,66,0.859,0.803,-4.405,0.185,0.553
1962,She's Got You,Patsy Cline,Country,14,13,178546,39,0.186,0.387,-13.216,0.0322,0.106
1962,Empty Arms,Sonny James,Country,93,3,141693,31,0.325,0.353,-14.106,0.0288,0.274
1962,Hey! Baby,Bruce Channel,Pop,1,15,234000,75,0.912,0.595,-3.428,0.0884,0.259
1962,Boom Boom,John Lee Hooker,Blues,60,10,152350,60,0.455,0.441,-14.207,0.0485,0.135
1962,Goodbye Cruel World,James Darren,Pop,3,17,73000,51,0.0118,0.472,-31.734,0.0397,0.247
1962,Dear Lady Twist,Gary U.S. Bonds,Pop,9,16,152000,13,0.892,0.524,-7.214,0.235,0.818
1962,Her Royal Majesty,James Darren,Pop,6,11,132000,11,0.591,0.359,-8.668,0.0561,0.281
1962,Johnny Angel,Shelley Fabares,Pop,1,15,139000,37,0.385,0.369,-9.132,0.0282,0.279
1962,Devil Woman,Marty Robbins,Country,16,11,170560,49,0.266,0.697,-12.459,0.0613,0.141
1962,Town Without Pity,Gene Pitney,Pop,13,19,174000,40,0.535,0.428,-6.423,0.0316,0.0623
1962,Crying In The Rain,The Everly Brothers,Pop,6,13,120000,59,0.379,0.61,-9.381,0.0278,0.144
1962,Duke Of Earl,Gene Chandler,Pop,1,15,147000,54,0.28,0.422,-11.277,0.0365,0.297
1962,Gina,Johnny Mathis,Pop,6,12,132000,81,0.534,0.832,-7.813,0.253,0.165
1962,Things,Bobby Darin,Pop,3,12,203000,71,0.683,0.659,-5.623,0.0312,0.133
